"var1";"var2";"level1";"level2";"count";"rowPerc";"colPerc";"totPerc"
"Position";"EpochDuration";"Thigh";"?";2;33,3333333333333;22,2222222222222;1,76991150442478
"Position";"EpochDuration";"Thigh";"1s⁣";2;33,3333333333333;100;1,76991150442478
"Position";"EpochDuration";"Thigh";"4-6s";0;0;0;0
"Position";"EpochDuration";"Thigh";"10s";2;33,3333333333333;15,3846153846154;1,76991150442478
"Position";"EpochDuration";"Thigh";"30s";0;0;0;0
"Position";"EpochDuration";"Thigh";"60s";0;0;0;0
"Position";"EpochDuration";"Upper arm";"?";3;42,8571428571429;33,3333333333333;2,65486725663717
"Position";"EpochDuration";"Upper arm";"1s⁣";0;0;0;0
"Position";"EpochDuration";"Upper arm";"4-6s";0;0;0;0
"Position";"EpochDuration";"Upper arm";"10s";0;0;0;0
"Position";"EpochDuration";"Upper arm";"30s";0;0;0;0
"Position";"EpochDuration";"Upper arm";"60s";4;57,1428571428571;5,97014925373134;3,53982300884956
"Position";"EpochDuration";"Wrist";"?";2;8,33333333333333;22,2222222222222;1,76991150442478
"Position";"EpochDuration";"Wrist";"1s⁣";0;0;0;0
"Position";"EpochDuration";"Wrist";"4-6s";0;0;0;0
"Position";"EpochDuration";"Wrist";"10s";11;45,8333333333333;84,6153846153846;9,73451327433628
"Position";"EpochDuration";"Wrist";"30s";0;0;0;0
"Position";"EpochDuration";"Wrist";"60s";11;45,8333333333333;16,4179104477612;9,73451327433628
"Position";"EpochDuration";"Chest";"?";1;16,6666666666667;11,1111111111111;0,884955752212389
"Position";"EpochDuration";"Chest";"1s⁣";0;0;0;0
"Position";"EpochDuration";"Chest";"4-6s";0;0;0;0
"Position";"EpochDuration";"Chest";"10s";0;0;0;0
"Position";"EpochDuration";"Chest";"30s";0;0;0;0
"Position";"EpochDuration";"Chest";"60s";5;83,3333333333333;7,46268656716418;4,42477876106195
"Position";"EpochDuration";"Hip / Waist";"?";1;1,42857142857143;11,1111111111111;0,884955752212389
"Position";"EpochDuration";"Hip / Waist";"1s⁣";0;0;0;0
"Position";"EpochDuration";"Hip / Waist";"4-6s";18;25,7142857142857;100;15,929203539823
"Position";"EpochDuration";"Hip / Waist";"10s";0;0;0;0
"Position";"EpochDuration";"Hip / Waist";"30s";4;5,71428571428571;100;3,53982300884956
"Position";"EpochDuration";"Hip / Waist";"60s";47;67,1428571428571;70,1492537313433;41,5929203539823
"Position";"DropTime";"Thigh";"No";6;100;6,18556701030928;5,30973451327434
"Position";"DropTime";"Thigh";"Yes";0;0;0;0
"Position";"DropTime";"Upper arm";"No";7;100;7,21649484536082;6,19469026548673
"Position";"DropTime";"Upper arm";"Yes";0;0;0;0
"Position";"DropTime";"Wrist";"No";23;95,8333333333333;23,7113402061856;20,353982300885
"Position";"DropTime";"Wrist";"Yes";1;4,16666666666667;6,25;0,884955752212389
"Position";"DropTime";"Chest";"No";6;100;6,18556701030928;5,30973451327434
"Position";"DropTime";"Chest";"Yes";0;0;0;0
"Position";"DropTime";"Hip / Waist";"No";55;78,5714285714286;56,701030927835;48,6725663716814
"Position";"DropTime";"Hip / Waist";"Yes";15;21,4285714285714;93,75;13,2743362831858
"Position";"BoutDuration";"Thigh";"?";0;0;0;0
"Position";"BoutDuration";"Thigh";"1s";1;16,6666666666667;100;0,884955752212389
"Position";"BoutDuration";"Thigh";"10-32s";1;16,6666666666667;5,55555555555556;0,884955752212389
"Position";"BoutDuration";"Thigh";"1min";1;16,6666666666667;2,7027027027027;0,884955752212389
"Position";"BoutDuration";"Thigh";"2-5min";0;0;0;0
"Position";"BoutDuration";"Thigh";"10min";3;50;8,10810810810811;2,65486725663717
"Position";"BoutDuration";"Thigh";"15-60min";0;0;0;0
"Position";"BoutDuration";"Upper arm";"?";1;14,2857142857143;100;0,884955752212389
"Position";"BoutDuration";"Upper arm";"1s";0;0;0;0
"Position";"BoutDuration";"Upper arm";"10-32s";1;14,2857142857143;5,55555555555556;0,884955752212389
"Position";"BoutDuration";"Upper arm";"1min";1;14,2857142857143;2,7027027027027;0,884955752212389
"Position";"BoutDuration";"Upper arm";"2-5min";2;28,5714285714286;15,3846153846154;1,76991150442478
"Position";"BoutDuration";"Upper arm";"10min";2;28,5714285714286;5,40540540540541;1,76991150442478
"Position";"BoutDuration";"Upper arm";"15-60min";0;0;0;0
"Position";"BoutDuration";"Wrist";"?";0;0;0;0
"Position";"BoutDuration";"Wrist";"1s";0;0;0;0
"Position";"BoutDuration";"Wrist";"10-32s";8;33,3333333333333;44,4444444444444;7,07964601769912
